Variety,Australia Total,Adelaide Hills,Adelaide Plains,Alpine Valleys,Australian Capital Territory,Barossa - other,Barossa Valley,Beechworth,Bendigo,Big Rivers - other,Blackwood Valley,Canberra District (ACT),Canberra District (NSW),Central Ranges - other,Central Victoria - other,Central Western Australia,Clare Valley,Coonawarra,Cowra,Currency Creek,"Eastern Plains, Inland and North of WA",Eden Valley,Far North - Other,Fleurieu - other,Geelong,Geographe,Gippsland,Glenrowan,Goulburn Valley,Grampians,Granite Belt,Great Southern,Greater Perth - other,Gundagai,Hastings River,Heathcote,Henty,Hilltops,Hunter,Hunter Valley - other,Kangaroo Island,King Valley,Langhorne Creek,Limestone Coast - other,Lower Murray - other,Macedon Ranges,Manjimup,Margaret River,McLaren Vale,Mornington Peninsula,Mount Benson,Mount Lofty Ranges - other,Mudgee,Murray Darling - NSW,Murray Darling - VIC,New England Australia,North East Victoria - other,North West Victoria - other,Northern Rivers - other,Northern Slopes - other,Orange,Padthaway,Peel,Pemberton,Perricoota,Perth Hills,Port Phillip - other,Pyrenees,Queensland - other,Riverina,Riverland,Robe,Rutherglen,Shoalhaven Coast,South Burnett,South Coast - other,South West Australia - other,Southern Fleurieu,Southern Flinders Ranges,Southern Highlands,Southern NSW - other,Strathbogie Ranges,Sunbury,Swan District,Swan Hill (NSW),Swan Hill (VIC),Tasmania,The Peninsulas,Tumbarumba,Upper Goulburn,Western Australian South East Coastal,Western Plains - other,Western Victoria - other,Wrattonbully,Yarra Valley
Arneis,153,2,,0,,,,,,,,,,0,,,1,14,6,,,3,,,0,,,,,,,,,,,,,,1,,,5,0,,,,,5,,2,,,1,0,18,,,,,,,2,,,,,,,0,5,55,,1,2,,1,,0,,1,,,,1,,,0,,,,,,,23,3
Barbera,116,2,,4,,,3,,,0,,,0,1,,,3,,,,,,,,,12,,,2,0,1,,,,,,,,8,,,4,3,,,0,,0,3,,,,13,,1,1,,,,,3,,,,10,0,,4,,20,2,,,,3,1,,3,,,,,5,,,,,,,,,0,,2,1
Cabernet Franc,591,9,,1,,,40,0,6,,0,0,3,1,,,51,40,5,,,1,,,4,14,2,1,9,1,4,18,0,1,,4,,0,10,,3,1,16,4,,2,3,54,26,0,,1,0,2,5,,,,,,15,46,1,3,,0,0,122,1,21,14,,2,,,3,,0,,0,,,3,4,,,3,,,,,,0,,11
Cabernet Sauvignon,25967,322,113,57,1,11,1357,10,136,60,57,12,78,38,7,9,1010,3423,112,261,3,234,5,63,22,244,24,64,250,58,52,512,3,79,2,84,7,175,159,,28,175,1875,186,50,17,38,1120,1134,24,63,72,804,789,1232,5,22,18,1,36,300,1232,29,53,133,22,9,141,21,1443,3123,159,96,5,44,9,14,77,19,22,12,36,12,81,45,318,33,26,0,33,2,14,18,1255,332
Chardonnay,27773,798,121,117,,2,573,10,52,211,43,11,21,72,5,2,233,434,733,73,1,264,,30,85,191,58,4,233,42,31,453,1,74,4,139,39,54,952,16,6,169,768,52,65,53,33,782,486,190,42,27,557,1743,2542,40,12,17,18,22,289,952,17,135,192,60,14,48,21,4576,4681,154,28,7,33,25,18,50,0,33,12,85,15,110,47,915,292,7,93,54,4,53,7,279,663
Chenin Blanc,541,25,0,,,,16,,,7,1,,0,,,2,3,,,1,3,1,,,,4,,,1,,1,,5,,,,,,,,,4,1,,,,,91,17,,,3,1,,11,,,,0,,,,5,1,,47,0,0,2,50,91,,5,,,,,2,,1,,,1,105,1,32,,,,,,,,0,
Colombard,2205,4,11,1,,,1,,,6,,,,0,,,,26,,,,,,,,,,,6,,,,,5,,,,,,,,,,,,,,4,7,,,1,,207,456,,,10,,,,,,,,,,,1,588,784,,,,,,,4,,,,,,,7,78,,,,,,,,,0
Cot,356,6,2,0,,,13,,5,,,,1,,,0,58,16,,1,,1,,,1,10,0,,1,,2,35,,,,7,,0,4,,1,,42,3,,2,,27,6,,,2,,4,5,,1,,,,1,44,1,0,,1,0,1,1,4,23,2,3,1,1,,,0,,1,0,,,4,,5,0,,,1,0,,,6,1
Crouchen,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,15,,0,,,,,,,,,,,,1,,11,,,,,,,,,,,,,,,66,,,,,,,,,
Dolcetto,154,1,,1,,,2,,,3,,,,1,,,2,,,,,0,,,,,,,,1,,3,,,,10,,,1,,,24,11,0,,,,0,1,,,,,0,10,,,,,,,3,,,,,,1,,20,0,,1,,,,,,,,,,,,,56,0,,,1,,,,,1
Durif,417,,1,9,,,11,1,,0,,,,,,,0,,,,,,,,3,,,2,13,,2,,,,,5,,,,,,9,1,,,,,,4,0,,,2,2,3,,1,,,4,,,,,11,1,,,0,247,3,,74,,,,,0,,,,,,,,10,,,,,,,,,
Garnacha Tinta,1748,25,21,2,,1,518,,1,,,,0,,,3,59,3,,11,2,33,,1,1,4,,,6,1,1,4,2,,,26,,0,0,,1,,122,,6,,,11,355,,,19,4,6,16,,,,,,5,2,2,,15,4,,,0,17,294,,6,,3,,,4,1,,,,,57,3,64,,2,,,,7,,,0
Gewurztraminer,834,21,,3,,,8,0,,,,,1,,,,35,6,2,4,,19,,,2,,4,,7,,0,1,,,,,0,1,26,,,6,,1,,4,,0,3,1,,0,84,,,5,,,0,,6,39,,,,1,1,1,,378,116,,1,0,,1,,,,0,,2,,,,17,17,,,4,,,,,5
Marsanne,238,,1,0,,,6,,,5,,,,,,1,,,,,,0,,,0,,,,58,,0,1,,,,5,,,1,,,,2,,,,,10,4,0,,,1,,1,,1,,,,3,,,,,,,6,1,116,2,2,5,,,,,,,,1,,,,,,,,,,,,,2,4
Merlot,10028,181,61,146,1,0,393,8,52,52,13,10,42,50,3,6,298,406,91,57,1,51,,,7,117,9,25,147,14,35,130,1,5,1,46,2,21,122,1,2,180,403,39,16,8,33,416,279,13,32,14,356,631,655,4,17,15,3,23,192,415,5,47,39,10,4,72,13,1371,1092,35,13,1,18,4,14,24,3,13,7,41,9,25,18,292,17,10,,18,2,14,6,330,118
Monastrell,692,2,5,7,,,191,,1,,,,1,,,,33,1,1,,,19,,,1,,0,,7,,2,,1,,,16,,0,,,,0,8,,8,,,9,50,0,,0,0,,3,,,,,,6,69,1,,4,,,2,0,48,164,,2,,2,,,4,,,,,,1,1,23,,,,,,,,,
Muscadelle,67,,,,,,7,,,,,,,,,,2,,,,,,,,0,,,4,0,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,0,,,,4,8,,23,,,,,,,,,,,19,,,,,,,,,,,0
Muscat A Petits Grains Rouge,230,1,,1,,,5,0,,,,,0,,0,,1,,,,1,2,,,,1,,1,5,,4,,,,,,,,11,,,0,1,,,,,7,2,1,,,2,,,,,,0,,0,,,,12,1,,,7,46,5,,85,,,1,,,,,,,,1,1,20,,,,,,2,,,3
Muscat Blanc A Petits Grains,533,1,,1,,,35,1,,2,,,0,,,,1,,,,,6,,,,1,,0,,,6,,,,0,,,,4,,,,1,0,,,,,4,1,,,,5,10,,,,,,,16,,,,,,,2,173,259,,1,,,,,,,0,,,,0,,,,,,,0,1,,,
Muscat Of Alexandria,2043,,2,,,2,0,,,9,,,,1,,1,0,4,,,,,,,0,0,,8,,,2,,4,8,,,,,,,,,,0,2,,,0,2,0,,5,,314,412,,,10,,,,,,,4,,,,1,268,827,,,,0,,,2,,,,,,5,1,147,,,,,,,,,
Nebbiolo,98,5,5,4,,,2,2,1,,,,,,,,3,,,,,,,,2,4,0,,,1,0,2,,,,14,,3,1,,,2,12,,,2,,6,8,,,,3,3,0,,,,,,,,,,,,,3,,,2,,,1,2,1,,0,0,,,,,,,2,0,,,,,,1,,4
Petit Verdot,1223,3,7,2,,,39,,4,,0,,,,,,13,24,7,7,,5,,,1,2,,,12,,2,2,,,1,6,,4,12,,,7,31,1,2,,0,31,51,3,,2,22,34,58,,,,,,1,62,1,6,8,3,0,2,3,202,469,8,3,,4,2,,4,1,1,,,0,3,,22,1,,,,,5,1,6,12
Pinot Gris,3296,179,28,46,,,7,1,21,97,,2,4,3,,,26,9,7,13,,42,,,11,,7,5,25,6,4,1,,,0,1,13,0,4,,,151,56,1,,4,,,35,89,,,10,562,133,1,3,,1,,46,169,,2,6,,1,,,1042,42,6,4,1,,2,,7,,9,28,20,2,,,35,81,,5,11,,,3,111,55
Pinot Noir,4690,446,25,50,,,61,3,16,25,1,2,18,2,2,,8,54,1,4,,30,,,190,9,84,,14,10,8,59,,7,1,31,72,10,54,,,77,66,48,2,85,5,23,80,325,,8,40,30,68,3,5,,,1,37,80,0,60,,3,27,21,1,222,445,64,5,,,6,1,14,,24,2,53,20,3,,9,530,,82,50,0,2,11,50,706
Riesling,4114,172,32,13,1,4,326,1,11,0,2,16,35,1,2,,1024,109,1,9,,534,,4,10,12,5,1,54,30,4,202,,,,26,19,17,4,,,87,170,8,,4,,50,73,5,,27,48,14,55,1,2,,,0,39,171,1,2,,1,2,1,2,207,203,,10,1,,3,,3,4,13,3,12,1,3,5,50,106,4,5,10,1,1,2,6,19
Roussanne,83,2,,2,,,7,,2,,,,,,,,24,0,,,,,,,0,,,,9,,0,,,,,5,,,,,,,1,,,,,5,6,,,,,,,,,,,,5,,,,,,,3,,3,1,,2,,,,,,,,,,0,0,,,,,,1,,,,,3
Ruby Cabernet,962,,6,4,,,1,,,,0,,,6,,,1,,,,2,,,,1,,,,4,,0,1,,,,,,,1,,,0,1,,,,,,10,,,,,66,13,,,,,1,,,,,,,,,2,630,168,,2,1,,,,,,,,,,,4,31,1,,,,,8,,,
Sangiovese,589,47,17,25,,,30,,3,0,,,3,1,1,3,33,1,3,,,1,0,,2,6,1,,12,6,,6,,,,17,,,23,,4,22,48,23,6,,,8,59,1,,4,39,4,15,,,,0,,1,4,,,5,2,,8,0,24,26,,5,0,5,3,,4,2,1,,,,2,1,16,,,,0,,0,,3,4
Sauvignon Blanc,6467,788,83,65,,1,131,1,14,25,51,5,12,1,,6,36,167,22,70,,55,,0,34,152,13,2,116,2,22,444,1,1,,3,5,5,43,,5,120,92,14,,8,25,798,172,25,36,14,43,316,185,1,0,3,0,3,100,79,1,207,2,2,1,26,3,397,477,23,5,2,,,24,22,,30,11,57,12,32,14,275,142,3,15,26,2,,1,58,180
Savagnin Blanc,94,3,2,4,,,10,,,,,,,,,,3,1,,,,2,,,0,,1,,,,4,,,,1,,,,0,,,8,2,,,,,10,13,1,,,,2,,,,,,,3,6,,,,0,,,,,7,,1,1,,1,4,,,2,,,,,3,,1,,,,,,,,0
Semillon,6112,80,16,5,,,536,0,3,4,19,4,9,0,,2,129,12,75,9,2,30,,,11,114,1,,25,1,11,251,2,,2,3,1,10,587,1,1,12,9,3,1,1,11,572,92,2,3,11,158,69,285,48,,2,0,7,23,46,5,36,12,9,,4,8,2115,368,12,7,3,26,8,7,21,0,,0,5,2,42,24,70,0,1,0,,0,6,,3,10
Sultaniye,430,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,1,,,0,,,,,,,0,,,,,,,,,0,,,,,,18,278,,,6,,,,,0,,,2,,,,,40,,,,,,,,,,,,0,4,11,70,,,,,,,,,
Syrah,42675,468,284,103,1,70,5215,15,415,123,53,27,122,47,30,24,1640,1208,292,326,3,568,6,85,108,241,24,84,492,323,71,636,16,221,1,723,11,162,1024,5,36,161,2075,94,102,30,7,700,3339,42,58,242,1110,1304,1567,10,9,33,2,37,439,1459,21,31,204,74,8,393,57,4756,5619,179,372,4,77,22,13,159,147,21,35,45,44,140,90,901,4,35,42,32,8,100,21,659,244
Tarrango,72,,,,,,1,,,,,,,,3,,3,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,0,,,,,,1,1,13,,,,,,0,,,,,,,0,,45,,,,1,,,,,
Tempranillo,476,14,5,2,,,42,0,3,,,1,5,,,2,18,3,1,2,,0,,,,12,1,,10,2,3,6,,0,,22,,8,14,,1,29,2,0,2,1,,7,28,2,,,2,51,8,,,,,,5,5,1,,,2,,,0,57,21,,7,1,,2,,4,1,27,,1,,2,,13,1,,4,0,,3,0,8,3
Touriga Nacional,48,,,1,,,8,,1,,,0,,,,,3,,,,,,,,,,,,0,,,,,,,,,1,,,,0,6,,,,,1,2,,,,0,,,,,,,,,,,,,1,,,1,9,8,,3,,,1,,2,,,,,,,,,,,1,,,,,,
Trebbiano Toscano,86,,,0,,,1,,,,,,,,,,0,,,,,,,,0,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,10,,7,,,1,,,,,,,,2,,,,,,,,,,,
Tribidrag,149,7,5,,,,7,,2,,,,,,,0,4,,,,1,1,,,4,3,1,,5,,,,,,,,,2,,,0,1,15,,,,,23,3,,,1,8,,1,,,,,,5,,1,1,,1,0,,0,38,0,,2,,,,,0,,,,2,,5,,0,0,,,,,,,,
Verdelho,1535,7,,3,,,12,,2,,3,,0,,,,4,,50,,6,,,,,22,1,1,28,,11,10,,,1,1,,,300,1,,5,71,0,,,22,38,27,0,,,14,76,5,3,,,1,4,6,45,3,26,8,33,,,15,396,98,,1,4,16,6,3,,,,,,,96,,37,,,,,,14,,,1
Viognier,1402,59,20,11,,,82,,6,,6,15,7,,2,0,24,7,15,7,1,28,,3,13,4,1,,49,4,5,11,1,0,1,35,,4,30,,1,11,27,,,1,,35,54,7,,7,13,100,54,1,1,1,,0,10,26,2,2,5,10,1,7,3,309,148,,9,,2,3,3,1,1,,6,7,2,11,,25,1,6,2,1,,0,,12,31
Other Red,1151,31,2,5,1,,51,4,2,,0,0,9,1,1,,8,16,0,13,0,3,,0,3,1,,1,6,5,22,5,0,8,5,11,14,6,27,1,1,22,14,,,1,0,20,36,6,0,5,19,38,98,1,0,2,10,3,7,56,0,1,0,3,0,9,11,131,119,0,42,6,4,6,,4,,4,1,1,1,15,12,155,6,0,3,1,,2,3,5,13
Other White,1255.6,152.3,5.1,11.6,1,0.05,12.6,0.3,12.7,,0.2,1.8E-15,7.5,0.2,1,,6.1,2.5,3.5,3,,1,,0.4,0.3,1.3,,0.2,0.4,0.2,21.7,12.1,0.1,,,5.6,,1.4E-14,25.8,,0.4,28.9,7.7,,,3.1,2.3,28.4,15.5,10.2,7.1E-15,3,58.9,143.7,122.5,0.5,1.8,6.2,3.7,3.3,0.1,,0.4,9.7,,4,0.6,,8.2,165,172,,21.7,1.5,2.2,1.7,,2.7,,0.4,2.2,1,0.1,11,20.5,72.5,13.4,0.1,1.6,0.4,,1.4,0.1,,12.5
Total,151788.3,3861.4,879.7,704.8,4,91.45,9762.6,57,771.15,629.3,249.1,105.4,377.6,226.8,56.4,61.5,4801,5984.7,1427.2,870.8,24.5,1933.4,11,186.9,514.7,1181.2,235.5,202.7,1612.4,505.6,331.1,2804.3,35.8,408.45,18.2,1245.4,182.5,483.8,3449.7,23.95,88.8,1319.6,5957.2,476.2,260.3,224.1,179.1,4893.6,6490.3,751.9,233.2,467.6,3414,6533.1,8339.3,123,73.6,121,40.8,145.2,1545.6,5027.7,96.1,622.2,671,294.8,67.7,873.7,187.1,20154.3,20008.8,643.65,853.4,39.6,239.6,113,100.7,414.4,180.4,202.2,119.3,369.2,129.2,783.9,308.2,3869.3,1251.2,92.9,254,245.2,18.7,235.6,72.9,2817.65,2440.2
