AHECC,Label,Destination,Qty,Unit,Value 000
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Antarctica,20,Litres,2.647
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Bangladesh,16,Litres,1.039
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Belgium,8829,Litres,69.757
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Bermuda,1011,Litres,3.269
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Cambodia,1512,Litres,11.902
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Canada,189774,Litres,688.485
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),China (excluding SARs and Taiwan),9447,Litres,126.81
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Christmas Island,703,Litres,19.509
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Cocos (Keeling) Island,41,Litres,3.36
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Cook Islands,77,Litres,1.728
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Denmark,124223,Litres,422.32
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Fiji,4291,Litres,234.603
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Finland,194463,Litres,673.107
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),French Polynesia,729,Litres,35.787
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Germany,135,Litres,2.071
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Guam,113,Litres,1.05
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Hong Kong (SAR of China),80176,Litres,840.604
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),India,2097,Litres,15.592
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Indonesia,1102,Litres,15.556
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Ireland,14164,Litres,49.722
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Japan,71005,Litres,459.279
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Kenya,104,Litres,2.034
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),"Korea, Republic of",74247,Litres,407.276
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Latvia,1467,Litres,9.703
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Malaysia,18409,Litres,208.235
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Mauritius,1440,Litres,7.2
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Micronesia Fed States of,14,Litres,0.967
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Mongolia,450,Litres,2.95
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),"Myanmar, Republic of",105,Litres,6.934
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Nauru,77,Litres,1.128
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Nepal,293,Litres,1.77
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Netherlands,227922,Litres,759.433
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),New Caledonia,3749,Litres,164.558
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),New Zealand,242741,Litres,3948.508
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Norfolk Island,491,Litres,6.084
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Norway,113900,Litres,423.847
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Panama,126,Litres,0.379
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Papua New Guinea,3402,Litres,147.415
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Philippines,3708,Litres,20.22
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Qatar,1800,Litres,5.228
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Ship & Aircraft Stores,30840,Litres,201.112
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Singapore,50565,Litres,628.93
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Solomon Islands,204,Litres,9.36
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),South Africa,4745,Litres,61.826
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Spain,2481,Litres,25.047
